"last_name, first_name","player_id","year","p_era","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break","fastball_range_speed","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break","breaking_range_speed","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break","offspeed_range_speed",""
"Bumgarner, Madison","518516","2019","3.90","76.3","89.6","2441","4.7","-21.9","13.9","2.6","18.3","78.8","2645","-11.8","-49.6","12.8","1.5","5.3","84.2","1638","13","-29.6","15.9","1.4",
"Beede, Tyler","595881","2019","5.08","56.2","94.2","2320","-10.5","-16.9","17.7","1.1","25.2","83","2250","4.8","-47.8","10.6","3.6","18.7","83.9","1600","-14.2","-34.7","15","1.2",
"Velasquez, Vince","592826","2019","4.91","67.8","94","2369","-4.7","-14.5","17.4","1.7","32.2","85.2","2470","5.4","-40.8","8.4","2.5",,,,,,,,
"Ryu, Hyun Jin","547943","2019","2.32","60","89.4","2064","7.7","-23.7","14.1","2.5","12.5","72.8","2568","-13.2","-65.6","18.5","2.6","27.5","80","1487","12.6","-36.8","13.9","1.8",
"Wainwright, Adam","425794","2019","4.19","61.1","88","2238","-4","-26.1","12.9","3.1","36.8","74.9","2752","18.4","-62.4","22.1","2.1","2","83.9","1769","-14.4","-31","16.9","1.6",
"Paxton, James","572020","2019","3.82","79.9","93.6","2217","8.1","-18.7","15.9","3.9","18.9","81.1","2013","-3.3","-48.8","8.1","1.5","1.2","86.2","2073","11.9","-29.3","14.3","1.4",
"Syndergaard, Noah","592789","2019","4.28","59.1","97.6","2151","-10.2","-16.5","16.6","1.1","24.7","85.7","2219","6.9","-38.8","7.7","5","16.2","91.1","1687","-15.6","-24.5","17.8","1.3",
"Soroka, Michael","647336","2019","2.68","63.4","92.4","2231","-12.8","-23.9","17","1.5","24.2","83.2","2777","6.4","-45.8","7.8","2.1","12.3","81.2","2177","-13.8","-30.3","19.1","1.5",
"Cashner, Andrew","488768","2019","4.68","48.2","93.8","2194","-8.3","-15.3","19","1.8","23.9","83.4","2299","7.4","-44.8","10.1","3.3","27.9","84.5","1545","-12.4","-30","15.9","1.6",
"Samardzija, Jeff","502188","2019","3.52","71.8","90.8","2559","-9.2","-21.1","16.4","2.2","20.5","83.6","2455","0.5","-34.7","8.4","3.4","7.6","82.3","1446","-8","-30.8","13.3","1.6",
"Maeda, Kenta","628317","2019","4.04","37.4","92.1","2282","-7.6","-17.7","17.1","1.3","38.4","82.3","2558","5.9","-38.8","10.1","3.3","24.1","84.9","1522","-12.4","-34.4","13.5","1.1",
"Lopez, Jorge","605347","2019","6.33","54.3","94.1","1917","-12.3","-19","17.8","1.5","38.2","82.8","2410","6.2","-49.2","12.3","3.2","7.5","87.5","1574","-14.2","-30.1","15.8","1.8",
"Bailey, Homer","456701","2019","4.57","50.6","92.9","2090","-8.2","-16.6","17.1","1.5","23.2","83.9","1872","5.4","-39","9.1","5.1","26.2","84.1","1125","-7.5","-35.2","9.3","1.8",
"Fiers, Mike","571666","2019","3.90","52.3","90.3","2297","-11.4","-17.4","20.8","1.5","35.1","79.9","2630","7","-49.3","16","6.8","12.5","84.1","1933","-16.2","-33.2","18","1.5",
